detect_ts,entry_px,exit_px,net_ret_bp
1609619040000,32222.26,33717.0,449.8842837218737
1609669500000,33575.27,34307.98,204.22907157559968
1609719180000,32702.06,36822.98,1246.140798469578
1609776780000,31220.0,39242.99,2555.823830877642
1609819980000,30784.0,38661.57,2544.981938669438
1609912860000,34941.72,39224.61,1211.7238624772904
1609963440000,34470.87,40796.36,1821.0247614870163
1610007720000,36460.3,40800.87,1176.4921243105516
1610061000000,38800.0,38550.43,-78.32216494845377
1610119920000,40389.7,32334.43,-2008.3871828708805
1610170320000,39456.18,35073.83,-1124.6878567565325
1610274840000,40104.49,34707.2,-1359.8069158839826
1610323800000,37632.78,38007.88,85.67374188141198
1610367000000,34039.15,38182.48,1203.2248719489187
1610415840000,34429.58,39496.52,1457.6821988534257
1610459040000,33986.35,37791.95,1105.7436617936307
1610511300000,33628.9,36409.0,812.6996541665051
1610659080000,38775.32,36600.0,-575.0063308310542
1610713860000,37574.29,37228.96,-105.90592822911681
1610763540000,36796.67,36885.17,10.051089405645598
1610807280000,36895.35,37241.99,79.95221891105533
1610860740000,35624.88,35299.99,-105.19750017403506
1610940240000,35275.62,34461.72,-244.72592345648403
1610991480000,35553.27,31677.07,-1104.2513327184804
1611084780000,36323.21,33487.22,-794.7652462433789
1611135540000,34912.8,32644.49,-663.7072706858231
1611217800000,34175.44,32696.99,-446.6059883940048
1611264960000,31669.28,31727.2,4.289016990598039
1611332040000,32023.35,34169.8,656.2765325926263
1611396120000,32399.53,32079.17,-112.87797755090855
1611515700000,31290.32,30710.0,-199.46310807943112
1611609780000,32699.03,32900.01,47.46359693238735
1611672300000,30852.74,36854.86,1931.4090625338295
1611738540000,30975.81,34305.61,1060.9678539479678
1611784680000,30890.62,34679.91,1212.6798141312818
1611893580000,33342.38,33720.61,99.4382128690281
1611939000000,36283.13,33520.0,-775.5467574048873
1612007580000,33658.06,34844.47,338.48912147640254
1612107300000,32931.37,36759.42,1148.4326591939528
1612165260000,33761.57,37945.23,1225.1781543334646
1612341060000,35830.84,39544.08,1022.3251322045496
1612429680000,37299.89,39402.52,549.7094372128159
1612653180000,39538.87,46511.14,1749.3963742514625
1612707180000,38317.1,45934.67,1974.0340631206427
1612794360000,43864.38,47834.87,891.1740843025713
1612865160000,46201.96,47478.95,262.39303613959277
1612930440000,45703.69,47800.0,444.674124561933
1613004360000,44186.29,47647.11,769.2338944953276
1613078520000,47209.34,49107.61,388.0962801005057
1613140740000,46561.29,47782.76,248.3359447300544
1613203440000,46682.89,49397.54,567.5085569895095
1613353020000,47764.5,52483.57,973.9868940321779
1613435580000,47278.4,51929.0,969.6627297032053
1613482200000,49457.05,52699.99,641.7083368296323
1613772960000,55264.12,54589.2,-136.12625479244178
1613834580000,56044.03,48671.08,-1329.5638522069157
1613955540000,56336.86,50544.29,-1042.2024947787295
1614002100000,52451.27,51306.85,-232.187281261254
1614045420000,52418.01,46467.62,-1149.1804465678872
1614090900000,47949.59,47030.72,-205.63250405269227
1614172500000,49677.77,47578.56,-436.5652641010258
1614244140000,49282.11,45214.12,-839.4496408534451
1614290340000,48126.74,45159.98,-630.4473222162969
1614346260000,46278.1,48116.76,383.3067174322198
1614411660000,47222.96,48791.16,318.0842234370747
1614466740000,45857.58,47812.58,412.31992355462336
1614517440000,44527.31,52460.0,1767.5336250943537
1614665940000,48388.69,47311.32,-236.64913557279664
1614780240000,51367.27,47442.01,-778.1558525496872
1614828240000,50354.79,49730.09,-138.05969720060472
1614872100000,49379.81,50690.0,251.3290889535631
1614960420000,47645.77,50965.72,682.798477598326
1615171740000,50609.84,55959.99,1043.13631973545
1615341660000,54369.83,56549.92,386.9742167669095
1615410360000,55711.23,61591.82,1041.5484055907582
1615554600000,55600.0,56546.55,156.24280575539618
1615766340000,59037.12,58959.0,-27.23235279769741
1615854180000,55292.32,56416.28,189.27597033367394
1615974360000,54780.27,58727.63,706.5806031989259
1616093160000,58162.5,57393.97,-146.1349666881577
1616319780000,55541.02,56491.97,157.215796901103
1616440500000,55858.61,52230.43,-663.5292310352874
1616616780000,54375.0,55865.54,260.1222988505743
1616673960000,51928.65,56008.96,771.7531439773613
1617177120000,58560.97,59402.98,129.78347899633548
1617794880000,56061.63,60685.99,810.8707716846626
1618088100000,58526.37,63294.38,800.6772130238045
1618392720000,63238.72,61750.0,-249.4127344765988
1618549140000,61743.53,56948.04,-790.678949195162
1618708620000,59163.46,55560.0,-623.0685027549092
1618843140000,55396.13,54678.54,-143.53792981567403
1618887180000,53640.24,50087.43,-676.3404369555386
1619046600000,53686.08,50521.0,-603.5531951671651
1619113920000,53730.35,49961.53,-715.4322445321875
1619160540000,48843.02,52862.83,809.0060303396481
1619225040000,49857.12,53737.41,764.2820186966277
1619383680000,48584.53,54309.95,1164.4450729481177
1619470980000,52715.45,52973.84,35.015990568230805
1619643660000,54169.72,57634.5,625.6156376662087
1619927520000,56463.45,54888.42,-292.9468231218606
1620089460000,55601.02,56739.5,190.75883356096736
1620138960000,54711.91,57122.05,426.5146886665068
1620326220000,55885.16,57282.2,235.98407448417305
1620489300000,57878.38,56133.97,-315.39233337215023
1620562920000,56900.01,56585.0,-69.36202893461794
1620676980000,55194.36,48538.45,-1219.9040090328076
1620832980000,55625.02,49256.89,-1158.8319479255908
1620899400000,49289.12,49287.56,-14.316499868532327
1621025520000,49191.69,44822.48,-902.2008322950485
1621073340000,48178.4,44875.0,-699.6599638012062
